No,Istilah,Definisi
136,bank umum/commercial bank/c full service bank,bank yang melaksanakan kegiatan usaha secara konvensional dan atau berdasarkan Prinsip Syariah yang dalam kegiatannya memberikan jasa dalam lalu lintas pembayaran; bank komersial.
137,bankers letter of credit/surat kredit bank,surat kredit yang dijamin oleh bank pembuka untuk dan atas nama pembeli yang akan membayar atau mengaksep surat wesel sesuai dengan ketentuan surat kredit.
138,bankrupt/pailit/bangkrut,suatu keadaan debitur yang dinyatakan dengan putusan hakim bahwa ia dalam keadaan tidak mampu membayar utang-utangnya.
139,bantuan likuiditas Bank Indonesia (BLBI),"bantuan yang diberikan kepada bank-bank yang mengalami kesulitan likuiditas dalam operasinya sehari-hari; kesulitan likuiditas ini dapat terjadi, antara lain, karena penarikan dana secara besar-besaran oleh nasabah sebagai dampak dan berkurangnya kepercayaan masyarakat kepada dunia perbankan."
140,barang bukti,"benda yang diajukan dalam sidang pengadilan untuk menguatkan keterangan saksi, keterangan ahli, dan keterangan terdakwa untuk membuktikan kesalahan terdakwa."
141,barang kena pajak (BKP),"1. barang berwujud, gerak maupun tak gerak, yang dihasilkan oleh proses pengolahan (pabrikase); 2. barang berwujud, yang menurut sifat atau hukumnya dapat berupa barang bergerak atau barang tidak bergerak maupun barang tidak berwujud yang dikenakan pajak berdasarkan Undang-undang PPN dan PPn BM."
142,barang milik daerah,semua barang yang dibeli atau diperoleh atas beban APBD atau berasal dari perolehan lainnya yang sah.
143,barang milik negara (BMN),semua barang yang dibeli atau diperoleh atas beban APBN atau berasal dari perolehan lainnya yang sah.
144,basis akrual,"basis akuntansi yang mengakui pengaruh transaksi dan peristiwa lainnya pada saat hak dan kewajiban itu terjadi, tanpa memperhatikan saat kas atau setara kas diterima atau dibayar."
145,basis kas,basis akuntansi yang mengakui pengaruh transaksi dan peristiwa lainnya pada saat kas atau setara kas diterima atau dibayar.
146,batal - pembatalan kepailitan/discharge of bankrupt,penetapan pengadilan untuk membatalkan proses kepailitan debitur dan membebaskan debitur dan tanggung jawab hukum atas kewajiban tertentu.
147,batal demi hukum/null and void,"sesuatu yang demi hukum tidak berlaku atau tidak sah, misalnya suatu perjanjian yang tidak memenuhi syarat obyektif yang ditentukan undang-undang sebagai syarat sahnya perjanjian (BW)."
148,bayar atas unjuk/pay to bearer,"cek, wesel, atau instrumen pembayaran lain yang dapat dicairkan oleh pembawa warkat tanpa endosemen."
149,bea balik nama,"pajak atas penyerahan kendaraan bermotor sebagai akibat perjanjian dua pihak atau perbuatan sepihak atau kendaraan yang terjadi karena jual beli, tukar menukar, hibah, warisan atau pemasukan ke dalam Badan Usaha."
150,bea meterai/stamp duty,"pajak atas tanda bukti suatu perbuatan yang dilunasi, misalnya dengan kertas meterai atau meterai tempel."
151,bea pabean/customs duties,pajak atas barang yang diimpor dan diekspor berdasarkan tarif yang telah ditentukan oleh pemerintah.
152,bea/duty,pungutan pajak yang ditetapkan oleh pemerintah atas barang/komoditas yang berkaitan dengan ekspor dan impor atau yang dianggap perlu dikenakan pajak.
153,beban tambahan/assessment,"perhitungan tambahan yang dibebankan pada wajib pajak untuk memenuhi perhitungan beban pajak yang seharusnya dalam bentuk penilaian kembali atas harta wajib pajak untuk menutup kerugian perhitungan pajak; bagi pemegang polis asuransi bersama, beban tambahan dimaksudkan untuk rnenutup kerugian."
154,beban tetap/fixed charges,kewajiban yang harus dibayar pada saat jatuh tempo tidak bergantung kepada ada atau tidak adanya kegiatan usaha.
155,bebas - pembebasan tanah/onteigening,"pencabutan hak atas tanah dan benda yang ada di atasnya oleh pemerintah untuk dijadikan sarana kepentingan umum; pelaksanaan pencabutan hak tersebut disertai pemberian ganti rugi kepada orang atau pihak yang mempunyai hak atas tanah dan benda tersebut sebelumnya, dengan cara yang diatur berdasarkan undang-undang."
156,bebas biaya ke atas kapal/free on board/FOB,syarat-syarat penyerahan barang dalam penentuan harga yang menyatakan bahwa risiko dan semua biaya pengangkutan barang sampai ke atas kapal di pelabuhan pengiriman ditanggung oleh penjual.
157,bebas biaya ke atas kereta api/free on rail/FOR,syarat-syarat penyerahan barang dalam penentuan harga yang menyatakan bahwa risiko dari semua biaya pengangkutan barang sampai ke atas gerbong kereta api di stasiun pengiriman ditanggung oleh penjual.
158,bebas biaya ke dalam pesawat/free on plane/FOP,syarat-syarat penyerahan barang dalam penentuan harga yang menyatakan bahwa risiko dari semua biaya pengangkutan barang sampai ke dalam pesawat di bandara pengiriman ditanggung oleh penjual.
159,bebas biaya ke sisi kapal/free alongside ship/FAS,syarat-syarat penyerahan barang dalam penentuan harga yang menyatakan bahwa risiko dari semua biaya pengangkutan barang sampai ke sisi kapal di pelabuhan pengiriman menjadi tanggungan penjual.
160,bebas risiko penahanan dan perampasan/free of capture and seizure/FC&S,klausul asuransi barang ekspor yang menyatakan bahwa perusahaan asuransi tidak menanggung kerugian karena penahanan dan perampasan.
161,belanja,semua pengeluaran dari rekening Kas Umum Negara/Daerah yang mengurangi ekuitas dana lancar dalam periode tahun anggaran bersangkutan yang tidak akan diperoleh pembayarannya kembali oleh Pemerintah.
162,belanja daerah,kewajiban pemerintah daerah yang diakui sebagai pengurang nilai kekayaan bersih.
163,belanja negara,kewajiban pemerintah pusat yang diakui sebagai pengurang nilai kekayaan bersih.
164,beli sewa/huurkoop,pembelian barang dengan pembayaran secara angsuran dan pembeli baru menjadi pemilik barang itu setelah melunasi harganya.
165,beli utang/leverage buy-out,pengambilalihan perusahaan oleh seseorang atau sekelompok investor yang menggunakan dana pinjaman dengan jaminan berupa harta yang dimiliki oleh perusahaan yang diambilalih atau harta milik investor tersebut; pengembalian dana pinjaman diambil dari pendapatan perusahaan yang diambil alih.
166,benda,"segala sesuatu yang dapat dimiliki dan dialihkan, baik yang berwujud maupun yang tidak berwujud, yang terdaftar maupun yang tidak terdaftar, yang bergerak maupun yang tak bergerak yang tidak dapat dibebani hak tanggungan atau hipotek [vide: UU No. 42/1999]."
167,bendahara,"setiap orang atau badan yang diberi tugas untuk dan atas nama negara/daerah, menerima, menyimpan, dan membayar/menyerahkan uang atau surat berharga atau barang-barang negara/daerah."
168,bendahara penerimaan,"orang yang ditunjuk untuk menerima, menyimpan, menyetorkan, menatausahakan dan mempertanggungjawabkan uang pendapatan negara/daerah dalam rangka pelaksanaan APBN/APBD pada kantor/satuan kerja kementerian negara/lembaga/pemerintah daerah."
169,bendahara pengeluaran,"orang yang ditunjuk untuk menerima, menyimpan, menyetorkan, menatausahakan, dan mempertanggungjawabkan uang pendapatan negara/daerah dalam rangka pelaksanaan APBN/D pada kantor/satuan kerja kementerian negara/lembaga/pemerintah daerah."
170,bendahara umum daerah,pejabat yang diberi tugas untuk melaksanakan fungsi bendahara umum daerah.
171,bendahara umum negara,pejabat yang diberi tugas untuk melaksanakan fungsi bendahara umum negara.
172,benturan kepentingan/conflict of interest,the illegal act of representing two opposing sides of a transaction.
173,beri - pemberian kredit niragunan/fiduciary loan,pemberian kredit yang peminjamnya tidak menyerahkan agunan; disebut juga pemberian kredit dengan fidusia karena agunan tersebut digunakan untuk kegiatan operasional perusahaan.
174,berita acara (BA),"laporan tertulis yang bersifat autentik, dibuat oleh pejabat yang berwenang, mengenai suatu kejadian tertentu."
175,berita acara pemeriksaan (BAP),"laporan tertulis mengenai jalannya pemeriksaan berupa pendengaran keterangan saksi, tersangka, atau keterangan ahli, atau pun tentang tindakan-tindakan lain dalam rangka pemeriksaan/penyidikan."
176,beschikking,"keputusan, pengaturan, kekuasaan untuk menggunakan sesuatu."
177,beslag,"penyitaan barang. - conservatoir beslag, penyitaan barang-barang debitur atas permintaan kreditur karena dikuatirkan selama proses pengadilan debitur menghilangkan barang; - executorial beslag, penyitaan atas harta kekayaan; - revindicatoir beslag, penyitaan atas tuntutan pemilik."
178,bid/tawaran ikut lelang,penawaran atau undangan untuk ikut serta dalam suatu kegiatan yang sedang ditawarkan melalui lelang.
179,bill of exchange/surat wesel,"surat perintah tidak bersyarat untuk membayar sejumlah uang tertentu kepada seseorang yang disebut namanya atau kepada orang lain yang ditunjuknya pada waktu jatuh tempo; agar surat tersebut berlaku selayaknya surat wesel, maka harus ada klausul surat wesel sesuai ketentuan hukum yang berlaku."
180,bill of lading/konosemen/surat muatan,surat keterangan muatan barang yang diterbitkan oleh pengangkut sebagai bukti bahwa ia menerima barang dari pengirim untuk diangkut dengan kapal pengangkut.
181,bilyet/biljet,"formulir, nota, dan bukti tertulis lain yang dapat membuktikan transaksi, berisi keterangan atau perintah membayar."
182,board of directors/dewan direksi,organ perseroan yang bertanggung jawab penuh atas pengurusan perseroan untuk kepentingan dan tujuan perseroan serta mewakili perseroan baik di dalam maupun di luar pengadilan sesuai dengan ketentuan dalam anggaran dasar perseroan yang bersangkutan [vide: UU No. 1/1995].
183,bond/obligasi/ikatan/jaminan,"surat bukti utang jangka panjang yang diterbitkan oleh perusahaan, lembaga keuangan, atau oleh pemerintah; dapat berarti pula sebagai suatu persetujuan yang dibuat di atas kertas bermaterai berisi kesediaan seseorang untuk terikat kepada pihak lain dengan berjanji untuk membuat atau tak berbuat sesuatu."
184,bonded warehouse/pergudangan berikat,suatu daerah pergudangan untuk menyimpan barang-barang tanpa membayar pajak atau bea dan pungutan resmi lainnya sampai barang tersebut dikeluarkan kembali.
185,bridging loan/pinjaman talangan,pinjaman jangka pendek untuk mengatasi kekurangan dana yang bersifat sementara sambil menunggu dana lain yang akan diperoleh.
186,budel pailit/bankrupt estate,harta kekayaan seseorang atau badan yang telah dinyatakan pailit yang dikuasai oleh balai harta peninggalan.
187,budget,"1. anggaran, rencana keuangan terperinci untuk maksud tertentu atau proyek. 2. anggaran pendapatan dan biaya negara yaitu perkiraan mengenai pengeluaran-pengeluaran yanga harus dilakukan dalam tahun anggaran yang bersangkutan dan perkiraan penerimaan dalam jangka tahun anggaran tersebut."
188,build operate and transfer (BOT)/bangun guna serah,kerjasama antara pihak pertama dengan pihak lain dimana pihak pertama mengikatkan dirinya untuk memberikan kepada pihak lain untuk membangun atau mengerjakan suatu proyek tertentu dan untuk mengoperasikan proyek tersebut untuk jangka waktu tertentu dan selanjutnya setelah jangka waktu berakhir menyerahkannya kepada pihak pertama.
189,build transfer and operate (BTO)/bangun serah guna,kerjasama antara pihak pertama dengan pihak lain dimana pihak lain membangun atau mengerjakan suatu proyek tertentu dan kemudian menyerahkannya kepada pihak pertama dan selanjutnya pihak pertama mempersilahkan pihak lain tersebut untuk mengoperasikannya dalam jangka waktu tertentu.
190,bukti adalah kompeten,bukti yang bila dilihat dari proses bukti tersebut dibuat dan diperoleh. Jika bukti dibuat oleh petugas yang tidak kompeten maka bukti tersebut dianggap tidak kompeten. Jika bukti yang diperoleh pemeriksa dengan cara tidak resmi maka bukti tersebut tidak dapat diterima menurut hukum.
191,bukti audit/auditing evidence,"1. fakta yang diperoleh sebagai hasil pemeriksaan fisik, hitung ulang, penegasan pihak ketiga, pencocokan, pernyataan pejabat, dan lain-lain; fakta itu menjadi dasar yang layak untuk memberikan pendapat tentang kewajaran laporan keuangan; 2. fakta dan data empiris untuk memperkuat temuan hasil pemeriksaan."
192,bukti langsung,"bukti sesuai fakta tanpa kesimpulan ataupun anggapan, bukti ini menjelaskan suatu fakta atau materi yang dipersoalkan; suatu bukti dapat dikatakan langsung jika didukung dengan pihak yang mempunyai pengetahuan nyata mengenai persoalan yang bersangkutan dengan menyaksikannya sendiri, dalam hal adanya uang suap (kickbacks), bukti langsung yang diperlukan adalah check dari pemasok."
193,bukti pemeriksaan,"bukti yang diperoleh pada saat melakukan pemeriksaan antara lain: bukti pemeriksaan fisik, bukti hasil konfirmasi, bukti dokumentasi, observasi, bukti hasil tanya jawab dengan instansi yang diperiksa, dan prosedur analitis; bukti dapat menjadi bukti hukum, namun secara umum bukti pemeriksaan tidak serta merta dapat dijadikan sebagai bukti hukum. Salah satu kendala yang menghambat diperolehnya bukti hukum oleh pemeriksa adalah masalah kewenangan. Sebagai contoh: permintaan keterangan yang dilakukan pemeriksa pada instansi yang diperiksanya tidak serta merta dapat menjadi bukti keterangan saksi (atau mungkin terdakwa)."
194,bukti tambahan,bukti yang lebih rendah mutunya jika dibandingkan dengan bukti utama. Bukti tambahan tidak dapat digunakan dengan tingkat keandalan yang sama dengan bukti utama.
195,bukti tidak langsung,"bukti yang mengungkapkan secara tidak langsung suatu tindak pelanggaran atau fakta dari seseorang yang mungkin mempunyai niat atau motif melakukan pelanggaran, dalam kasus uang suap, penyimpanan uang dari sumber yang tidak dikenal ke rekening seseorang pada waktu berdekatan dengan perbuatan jahat, dapat merupakan bukti tidak langsung; bukti tidak langsung digunakan untuk menetapkan suatu fakta dengan didukung oleh bukti lainnya yang setingkat dengan fakta yang diperiksa, meskipun bukti ini mungkin benar, tetapi bukti tidak langsung tidak dapat menetapkan suatu fakta secara meyakinkan."
196,bukti transaksi/voucher,"dokumen sebagai tanda bukti yang mendukung serta mengesahkan atas transaksi yang dilakukan atau tanda bukti adanya kewajiban pada pihak lain yang masih harus dilaksanakan, misalnya cek, bilyet giro, dan dokumen pengiriman uang."
197,bukti utama,bukti asli yang mewakili secara langsung suatu transaksi/kejadian. Bukti utama menghasilkan kepastian yang paling kuat atas fakta.
198,bukti yang material,"bukti yang mempunyai keterkaitan yang kuat dengan sangkaan yang diindikasikan, material tidak dilihat dari besaran dan nilai yang terkandung dalam bukti tersebut, bukti ”notulen rapat” mungkin tidak mempunyai nilai uang, tetapi dokumen tersebut dapat dijadikan bukti adanya suatu putusan rapat/peserta rapat/dan kegiatan rapat. Jika bukti tersebut menjadi bagian dari proses pembuktian adanya indikasi Tindak Pidana Korupsi, maka bukti tersebut sangat material sifatnya."
199,bukti yang relevan,bukti yang merupakan salah satu bagian dari rangkaian bukti – bukti (chain of evidence) yang menggambarkan suatu proses kejadian atau jika bukti tersebut secara tidak langsung menunjukkan kenyataan dilakukan atau tidak dilakukannya suatu perbuatan.
200,buy back/beli kembali,"suatu klausul dalam perjanjian jual-beli yang menyatakan penjual mempunyai hak untuk membeli kembali barang yang telah dijualnya tersebut dalam hal-hal tertentu sebagaimana tercantum dalam perjanjian kedua belah pihak; suatu metode dalam perdagangan sistem imbal beli, yang dalam hal ini eksportir setuju untuk menerima pembayaran dari importir dengan cara membeli barang yang dihasilkan importir dari barang-barang modal yang sebelumnya telah dibelinya dari eksportir tersebut."
